Title,Productioncompany,Release date,Running time,Country,Language,Box office,Metascore,imdbRating,Rotten_Tomatoes,Genre,Rated,BoxOffice_Api,Type,Directed by,Written by,Based on,Produced by,Starring,Music by,Distributed by,Budget,Story by,Narrated by,Cinematography,Edited by,Languages,Screenplay by,Countries,Productioncompanies,Color process,Created by,Country of origin,No. of seasons,No. of episodes,Executive producers,Production company,Original network,Picture format,Audio format,Original release,Related shows,Original language,Executive producer,Producers,Editors,Distributor,Japanese,Hepburn,Adaptation by,Animation by,Traditional,Simplified
Morning Light,['Walt Disney Pictures'],"['October17,2008(2008-10-17)']",['100 minutes'],['United States'],['English'],"['$275,776[1]']",51,5.8,33%,"Documentary, Sport",PG,"$275,497",movie,['Mark Monroe'],['Mark Morone'],,['Morgan Sackett'],,['Ric MarkmannDan PinellaChris Wagner'],['Walt Disney StudiosMotion Pictures'],,['Roy E. DisneyLeslie DeMeuseThomas J. Pollack'],,['John Brooks'],['Paul Crowder'],,,,,,,,,,,,,,,,,,,,,,,,,,,
High School Musical 3: Senior Year,,"['October17,2008(2008-10-17) (London)', 'October24,2008(2008-10-24) (United States)']",['112 minutes[1]'],['United States'],['English'],['$252.9 million[2]'],57,4.9,63%,"Comedy, Drama, Family",G,"$90,559,416",movie,['Kenny Ortega'],['Peter Barsocchini'],,"['Bill Borden', 'Barry Rosenbush']","['Zac Efron', 'Vanessa Hudgens', 'Ashley Tisdale', 'Lucas Grabeel', 'Corbin Bleu', 'Monique Coleman', 'Olesya Rulin', 'Chris Warren Jr.', 'Ryne Sanborn', 'Kaycee Stroh', 'Alyson Reed', 'Bart Johnson']",['David Lawrence'],['Walt Disney Studios Motion Pictures'],['$11 million[2]'],,,['Daniel Aranyò'],['Don Brochu'],,,,"['Walt Disney Pictures', 'Borden & Rosenbush Entertainment']",,,,,,,,,,,,,,,,,,,,,,,
Bolt,,"['November21,2008(2008-11-21)']",['96 minutes'],['United States'],['English'],['$310 million[1]'],67,6.8,89%,"Animation, Adventure, Comedy",PG,"$114,053,579",movie,"['Chris Williams', 'Byron Howard']",,,['Clark Spencer'],"['John Travolta', 'Susie Essman', 'Mark Walton', 'Miley Cyrus', 'Malcolm McDowell', 'Diedrich Bader', 'Nick Swardson', 'Greg Germann']",['John Powell'],['Walt Disney StudiosMotion Pictures'],['$150 million[1]'],,,,['Tim Mertens'],,"['Dan Fogelman', 'Chris Williams']",,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,
Bedtime Stories,,"['December25,2008(2008-12-25)']",['99 minutes'],['United States'],['English'],['$212.9 million[2]'],33,6.0,27%,"Adventure, Comedy, Family",PG,"$110,101,975",movie,['Adam Shankman'],,,['Adam Sandler Andrew Gunn Jack Giarraputo'],"['Adam Sandler', 'Keri Russell', 'Guy Pearce', 'Russell Brand', 'Richard Griffiths', 'Jonathan Pryce', 'Courteney Cox', 'Lucy Lawless', 'Teresa Palmer']",['Rupert Gregson-Williams'],['Walt Disney Studios Motion Pictures'],['$80 million[1]'],['Matt Lopez'],,['Michael Barrett'],['Tom Costain'],,['Matt Lopez Tim Herlihy'],,['Walt Disney Pictures Happy Madison Productions Gunn Films Offspring Entertainment Conman & Izzy Productions'],,,,,,,,,,,,,,,,,,,,,,,
The Secret of the Magic Gourd,,"['June29,2007(2007-06-29)']",['85 minutes'],['China'],['Chinese'],,,,,,,,,['John ChuFrankie Chung'],['Zhang Tianyi'],,['Han San PingJohn Chu'],,"['Zhang Hanyun - "" One Dream "" , Simplified Chinese= 張含韻《一人一夢》']",['Walt Disney Studios Motion Pictures'],,,,,['Angie Lam'],,['John ChuLam Kee To'],,['Walt Disney PicturesCentro Digital Pictures Limited'],,,,,,,,,,,,,,,,,,,,,,['魔法南瓜的秘密'],['宝葫芦的秘密']
Jonas Brothers: The 3D Concert Experience,,"['February27,2009(2009-02-27)']",['76 minutes[1]85 minutes (Extended edition)[2]'],['United States'],['English'],['$23.1 million[3]'],45,1.6,23%,"Documentary, Music",G,"$19,162,740",movie,['Bruce Hendricks'],,,"['Kevin Jonas, Sr.Alan SacksJohnny WrightPhil McIntyre']",['Kevin JonasJoe JonasNick JonasDemi LovatoTaylor Swift'],['Jonas Brothers'],['Walt Disney StudiosMotion Pictures'],,,,['Mitchell AmundsenReed Smoot'],['Michael Tronick'],,,,['Walt Disney PicturesJonas Films'],,,,,,,,,,,,,,,,,,,,,,,
Race to Witch Mountain,,"['March11,2009(2009-03-11) (Egypt)', 'March13,2009(2009-03-13) (United States)']",['98 minutes'],['United States'],['English'],['$106.4 million[2]'],52,5.7,42%,"Action, Adventure, Family",PG,"$67,172,594",movie,['Andy Fickman'],,['Escape to Witch Mountainby Alexander Key'],['Andrew Gunn'],"['Dwayne Johnson', 'AnnaSophia Robb', 'Carla Gugino', 'Ciarán Hinds', 'Alexander Ludwig', 'Tom Everett Scott', 'Chris Marquette']",['Trevor Rabin'],['Walt Disney StudiosMotion Pictures'],['$50 million[1]'],['Matt Lopez'],,['Greg Gardiner'],['David Rennie'],,"['Matt Lopez', 'Mark Bomback']",,['Walt Disney PicturesGunn Films'],,,,,,,,,,,,,,,,,,,,,,,
Hannah Montana: The Movie,,"['April10,2009(2009-04-10)']",['97 minutes[2]'],['United States'],['English'],['$170 million[3]'],47,4.6,43%,"Comedy, Drama, Family",G,"$79,576,189",movie,['Peter Chelsom[1]'],['Dan Berendsen[1]'],"[""Hannah Montanaby Michael PoryesRich CorrellBarry O'Brien""]","['David Blocker', 'Billy Ray Cyrus', 'Alfred Gough', 'Miles Millar', 'Steven Peterman', 'Michael Poryes']","['Miley Cyrus', 'Emily Osment', 'Jason Earles', 'Melora Hardin', 'Vanessa Williams', 'Billy Ray Cyrus']",['John Debney'],['Walt Disney Studios Motion Pictures'],['$30 million[3]'],,,['David Hennings'],['Virginia Katz'],,,,"['Walt Disney Pictures', ""It's a Laugh Productions"", 'Millar Gough Ink']",,,,,,,,,,,,,,,,,,,,,,,
Earth,,"['10October2007(2007-10-10) (France)', '16November2007(2007-11-16) (United Kingdom)', '12January2008(2008-01-12) (Germany)', '22April2009(2009-04-22) (United States)']",['99 minutes (UK)[1]90 minutes (U.S.)'],,['English'],['$109 million[2]'],,,,,,,,"['Alastair Fothergill', 'Mark Linfield']","['Alastair Fothergill', 'Mark Linfield', 'Leslie Megahey']",,"['Alix Tidmarsh', 'Sophokles Tasioulius']",,"['George Fenton', 'Berliner Philharmoniker']","['Gaumount (France)', 'Lionsgate (United Kingdom)', 'Universum Film (Germany)', 'Walt Disney Studios Motion Pictures (United States)']",['$47 million'],,"['Patrick Stewart (British release)', 'Anggun (french release)', 'James Earl Jones (American release)', 'Constantino Romero (Spanish release)', 'Ulrich Tukur (German release)', 'Ken Watanabe (Japanese release)']",,"['Martin Elsbury', 'Vartan Nazarian']",,,"['France', 'United Kingdom', 'Germany', 'United States']","['BBC Worldwide', 'Greenlight Media', 'Discovery Channel', 'BBC Natural History Unit']",,,,,,,,,,,,,,,,,,,,,,,
Up,,"['May29,2009(2009-05-29)', ' (United States)']",['96 minutes[1]'],['United States'],['English'],['$735.1 million[1]'],88,8.2,98%,"Animation, Adventure, Comedy",PG,"$293,004,164",movie,['Pete Docter'],,,['Jonas Rivera'],"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai']",['Michael Giacchino'],['Walt Disney StudiosMotion Pictures'],['$175 million[2]'],['Pete DocterBob PetersonTom McCarthy'],,['Patrick LinJean-Claudie Kalache'],['Kevin Nolting'],,['Bob PetersonPete Docter'],,['Walt Disney PicturesPixar Animation Studios'],,,,,,,,,,,,,,,,,,,,,,,
