Title,Productioncompany,Release date,Running time,Country,Language,Box office,Metascore,imdbRating,Rotten_Tomatoes,Genre,Rated,BoxOffice_Api,Type,Directed by,Written by,Based on,Produced by,Starring,Music by,Distributed by,Budget,Story by,Narrated by,Cinematography,Edited by,Languages,Screenplay by,Countries,Productioncompanies,Color process,Created by,Country of origin,No. of seasons,No. of episodes,Executive producers,Production company,Original network,Picture format,Audio format,Original release,Related shows,Original language,Executive producer,Producers,Editors,Distributor,Japanese,Hepburn,Adaptation by,Animation by,Traditional,Simplified
The Horse in the Gray Flannel Suit,['Walt Disney Productions'],"['December3,1968(1968-12-03)']",['113 mins.'],['United States'],['English'],['$3.3 million  (US/ Canada rentals)[1]'],,,,,,,,['Norman Tokar'],['Eric Hatch (book)Louis Pelletier'],,['Winston Hibler'],['Dean JonesDiane BakerLloyd BochnerFred ClarkMorey AmsterdamKurt RussellEllen Janov'],['George Bruns'],"['Buena Vista Distribution Co., Inc.']",,,,['William E. Snyder'],['Robert Stafford'],,,,,,,,,,,,,,,,,,,,,,,,,,,
The Love Bug,['Walt Disney Productions'],"['December24,1968(1968-12-24) (limited)', 'March13,1969(1969-03-13) (wide)']",['108 minutes'],['United States'],['English'],"['$51,264,000[2]']",48,6.5,76%,"Comedy, Family, Sport",G,"$51,264,000",movie,['Robert Stevenson'],,,['Bill Walsh'],['Dean JonesMichele LeeDavid TomlinsonBuddy Hackett'],['George Bruns'],['Buena Vista Distribution'],['$5 million[1]'],['Gordon Buford'],,['Edward Colman'],['Cotton Warburton'],,['Bill WalshDon DaGradi'],,,,,,,,,,,,,,,,,,,,,,,,,
Smith!,['Walt Disney Productions'],"['May9,1969(1969-05-09)']",['112 minutes'],['United States'],['English'],['$1.3 million (US/ Canada rentals)[1]'],,,,,,,,"[""Michael O'Herlihy""]",['Louis Pelletier'],,['Bill Anderson'],['Glenn Ford'],['Robert F. Brunner'],['Buena Vista Distribution'],,,,['Robert C. Moreno'],['Robert Stafford'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Rascal,['Walt Disney Productions'],"['September4,1969(1969-09-04)']",['93 minutes'],['United States'],['English'],,,,,,,,,['Norman Tokar'],['Harold Swanton'],['Rascal: A Memoir of a Better Eraby Sterling North'],['James Algar'],['Bill MumyWalter Pidgeon (voice)Steve ForrestPamela Toll'],['Buddy Baker'],['Buena Vista Distribution'],,,['Walter Pidgeon'],['William E. Snyder'],['Norman R. Palmer'],,,,,,,,,,,,,,,,,,,,,,,,,,,
The Computer Wore Tennis Shoes,['Walt Disney Productions'],"['November28,1969(1969-11-28)']",['91 minutes'],['United States'],['English'],['$5.5 million (US/ Canada rentals)[1]'],,,,,,,,['Robert Butler'],['Joseph L. McEveety'],,['Bill Anderson'],"['Kurt Russell', 'Cesar Romero', 'Joe Flynn', 'William Schallert', 'Alan Hewitt']",['Robert F. Brunner'],['Buena Vista Distribution'],,,,['Frank V. Phillips'],['Cotton Warburton'],,,,,,,,,,,,,,,,,,,,,,,,,,,
King of the Grizzlies,['Walt Disney Productions'],"['February11,1970(1970-02-11)']",['93 minutes'],,['English'],,N/A,5.7,,"Western, Family",G,N/A,movie,['Ron Kelly'],,['The Biography of a Grizzlyby Ernest Thompson Seton'],['Winston Hibler'],['John YesnoChris WigginsHugh WebsterJack Van Evera'],['Buddy Baker'],['Buena Vista Distribution'],,,['Winston Hibler'],['Reginald H. Morris'],['G. Gregg McLaughlin'],,['Jack SpeirsRod PetersonNorman Wright'],['United StatesCanada'],,,,,,,,,,,,,,,,,,,,,,,,
The Boatniks,['Walt Disney Productions'],"['July1,1970(1970-07-01)']",['100 minutes'],['United States'],['English'],"['$18,607,492[1]']",N/A,5.5,,"Comedy, Family",G,"$18,607,492",movie,['Norman Tokar'],['Arthur Julian'],,['Ron Miller'],['Robert MorseStefanie PowersPhil SilversNorman FellMickey ShaughnessyWally Cox'],['Bruce BellandRobert F. BrunnerFranklyn Marks'],['Buena Vista Distribution'],,['Mary Roth'],,['William Snyder'],['Cotton Warburton'],,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wild Country,['Walt Disney Productions'],"['December15,1970(1970-12-15)(original release)', 'January20,1971(1971-01-20)', ' (initial release)[1]']",['100 minutes'],['United States'],['English'],['$4 million (rentals) (US/Canada)[2]'],,,,,,,,['Robert Totten'],['Calvin Clements Jr.Paul Savage'],,['Ron Miller'],['Steve Forrest  Vera Miles'],['Robert F. Brunner'],['Buena Vista Distribution'],,,,['Frank V. Phillips'],['Robert Stafford'],,,,,,,,,,,,,,,,,,,,,,,,,,,
The Aristocats,['Walt Disney Productions'],"['December11,1970(1970-12-11) (premiere)', 'December24,1970(1970-12-24) (United States)']",['79 minutes'],['United States'],['English'],['$191 million[2]'],66,7.1,64%,"Animation, Adventure, Comedy",G,"$35,452,658",movie,['Wolfgang Reitherman'],,"['""The Aristocats""by Tom McGowanTom Rowe']",['Winston HiblerWolfgang Reitherman'],"['Phil Harris', 'Eva Gabor', 'Sterling Holloway', 'Scatman Crothers', 'Paul Winchell', 'Lord Tim Hudson', 'Thurl Ravenscroft', 'Dean Clark', 'Liz English', 'Gary Dubin']",['George Bruns'],['Buena Vista Distribution'],['$4 million[1]'],"['Ken Anderson', 'Larry Clemmons', 'Eric Cleworth', 'Vance Gerry', 'Julius Svendsen', 'Frank Thomas', 'Ralph Wright']",,,['Tom Acosta'],,,,,,,,,,,,,,,,,,,,,,,,,,,
The Barefoot Executive,['Walt Disney Productions'],"['March 17, 1971(1971)']",['96 minutes'],['United States'],['English'],,55,6.0,83%,"Comedy, Family",G,N/A,movie,['Robert Butler'],,,['Bill Anderson'],"['Kurt Russell', 'Joe Flynn', 'Wally Cox', 'Heather North', 'John Ritter', 'Harry Morgan']",['Robert F. Brunner'],['Buena Vista Distribution'],,['Lila GarrettBernie KahnStewart C. Billett'],['Kurt Russell'],['Charles F. Wheeler'],['Robert Stafford'],,['Joseph L. McEveety'],,,,,,,,,,,,,,,,,,,,,,,,,
Scandalous John,['Walt Disney Productions'],"['June 22, 1971']",['113 minutes'],['United States'],['English'],,N/A,5.8,,"Comedy, Drama, Family",G,"$27,000",movie,['Robert Butler'],['Bill Walsh'],,['Bill Walsh'],['Brian KeithAlfonso ArauMichele Carey'],['Rod McKuen'],['Buena Vista Distribution'],,,,['Frank V. Phillips'],['Cotton Warburton'],,,,,,,,,,,,,,,,,,,,,,,,,,,
The Million Dollar Duck,['Walt Disney Productions'],"['June30,1971(1971-06-30)']",['89 minutes'],['United States'],['English'],['$5.1 million (North America) (rentals)[1]'],45,5.8,17%,"Comedy, Family, Sci-Fi",G,"$11,118,000",movie,['Vincent McEveety'],,,['Bill Anderson'],['Dean JonesSandy DuncanJoe FlynnTony RobertsJames GregoryLee Montgomery'],['Buddy Baker'],['Buena Vista Distribution'],,['Ted Key'],,['William E. Snyder'],['Lloyd L. Richardson'],,['Roswell Rogers'],,,,,,,,,,,,,,,,,,,,,,,,,
Bedknobs and Broomsticks,['Walt Disney Productions'],"['October7,1971(1971-10-07) (United Kingdom)', 'December13,1971(1971-12-13) (United States)']",['118 minutes (1971 original version)139 minutes (1996 reconstruction version)'],['United States[1][2]'],['English'],['$17.9million[4]'],59,7.1,66%,"Animation, Adventure, Comedy",G,N/A,movie,['Robert Stevenson'],,['The Magic Bedknob &Bonfires and Broomsticksby Mary Norton'],['Bill Walsh'],"['Angela Lansbury', 'David Tomlinson', 'John Ericson', 'Ian Weighill', ""Cindy O'Callaghan"", 'Roy Snart']",['Irwin Kostal'],['Buena Vista Distribution'],['$6.3million[3]'],,,['Frank V. Phillips'],['Cotton Warburton'],,"['Bill Walsh', 'Don DaGradi']",,,,,,,,,,,,,,,,,,,,,,,,,
The Biscuit Eater,['Walt Disney Productions'],"['March22,1972(1972-03-22) (US)']",['92 minutes'],['United States'],['English'],,,,,,,,,['Vincent McEveety'],,,['Bill Anderson'],['Earl HollimanPat CrowleyLew AyresGodfrey Cambridge'],['Robert F. Brunner'],['Buena Vista Distribution'],,['James Street'],,['Richard A. Kelley'],['Ray de Leuw'],,['Lawrence Edward Watkin'],,,,,,,,,,,,,,,,,,,,,,,,,
"Now You See Him, Now You Don't",['Walt Disney Productions'],"['July12,1972(1972-07-12)']",['88 minutes'],['United States'],['English'],"['$4,610,000 (US/Canada) (rentals)[1]']",N/A,6.3,80%,"Family, Comedy, Sci-Fi",G,N/A,movie,['Robert Butler'],,,['Ron Miller'],['Kurt RussellCesar RomeroJoe FlynnJim BackusWilliam Windom'],['Robert F. Brunner'],['Buena Vista Distribution'],,['Robert L. King'],,['Frank V. Phillips'],['Cotton Warburton'],,['Joseph L. McEveety'],,,,,,,,,,,,,,,,,,,,,,,,,
Napoleon and Samantha,['Walt Disney Productions'],"['July5,1972(1972-07-05)']",['92 minutes'],['United States'],['English'],,N/A,6.1,,"Adventure, Drama",G,N/A,movie,['Bernard McEveety'],['Stewart Raffill'],,['Winston Hibler'],['Johnny Whitaker Jodie FosterMichael Douglas'],['Buddy Baker'],['Buena Vista Distribution'],,,,['Monroe P. Askins'],['Robert Stafford'],,,,,,,,,,,,,,,,,,,,,,,,,,,
"Run, Cougar, Run",['Walt Disney Productions'],"['October18,1972(1972-10-18)']",['87 minutes'],['United States'],['English'],,N/A,6.5,,"Drama, Family, Western",G,N/A,movie,['Jerome Courtland'],,['The Mountain Lionby Robert William Murphy'],['James Algar'],"['Stuart WhitmanFrank AletterLonny ChapmanDouglas FowleyHarry Carey, Jr.Alfonso Arau']",['Buddy Baker'],['Buena Vista Distribution'],,,['Ian Tyson'],['William Cronjager'],['Gordon D. Brenner'],,['Louis Pelletier'],,,,,,,,,,,,,,,,,,,,,,,,,
Snowball Express,['Walt Disney Productions'],"['December22,1972(1972-12-22)']",['93 minutes'],['United States'],['English'],"['$6,100,000 (US/ Canada rentals)[1]']",N/A,6.4,,"Comedy, Family",G,N/A,movie,['Norman Tokar'],"['Frankie O\'Rear (book ""Chateau Bon Vivant"")John O\'Rear (book ""Chateau Bon Vivant"")Don TaitJim ParkerArnold Margolin']",,['Ron MillerTom Leetch'],['Dean JonesNancy OlsonHarry MorganKeenan WynnJohnny WhitakerMichael McGreeveyGeorge LindseyKathleen CodyMary Wickes'],['Robert F. BrunnerEvelyn KennedyFranklyn Marks'],['Buena Vista Distribution'],,,,['Frank V. Phillips'],['Robert Stafford'],,,,,,,,,,,,,,,,,,,,,,,,,,,
The World's Greatest Athlete,['Walt Disney Productions'],"['February 1, 1973[1]']",['93 minutes'],['United States'],['English'],"['$22,583,370[2]']",N/A,5.8,,"Comedy, Family, Romance",G,"$125,000",movie,['Robert Scheerer'],['Dee CarusoGerald Gardner'],,['Bill Walsh'],['John AmosRoscoe Lee BrowneTim ConwayDayle HaddonJan-Michael Vincent'],['Marvin Hamlisch'],['Buena Vista Distribution'],,,,['Frank V. Phillips'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charley and the Angel,['Walt Disney Productions'],"['March23,1973(1973-03-23)']",['93 minutes'],['United States'],['English'],,,,,,,,,['Vincent McEveety'],['Will Stanton (book author)Roswell Rogers (film writer)'],,['Bill Anderson'],['Fred MacMurrayCloris LeachmanHarry MorganKurt Russell'],['Paul J. SmithBuddy Baker'],['Buena Vista Distribution'],,,,['Charles F. Wheeler'],['Bob BringRay de Leuw'],,,,,,,,,,,,,,,,,,,,,,,,,,,
One Little Indian,['Walt Disney Productions'],"['June20,1973(1973-06-20)']",['90 Minutes'],['United States'],['English[1]'],['$2 million'],N/A,6.2,,"Comedy, Family, Western",G,N/A,movie,['Bernard McEveety'],['Harry Spalding'],,['Winston Hibler'],"['James Garner', 'Vera Miles', 'Pat Hingle', 'Morgan Woodward', 'Jodie Foster']",['Jerry Goldsmith'],['Buena Vista Distribution'],,,,['Charles F. Wheeler'],['Robert Stafford'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin Hood,['Walt Disney Productions'],"['November8,1973(1973-11-08)']",['83 minutes'],['United States'],['English'],['$32 million[2]'],53,6.6,43%,"Action, Adventure, Drama",PG-13,"$105,269,730",movie,['Wolfgang Reitherman'],,['The legend of Robin Hood'],['Wolfgang Reitherman'],"['Peter Ustinov', 'Phil Harris', 'Brian Bedford', 'Terry-Thomas', 'Roger Miller', 'Pat Buttram', 'George Lindsey', 'Andy Devine']",['George Bruns'],['Buena Vista Distribution'],['$5 million[1]'],"['Larry Clemmons', 'Ken Anderson', 'Vance Gerry', 'Frank Thomas', 'Eric Cleworth', 'Julius Svendsen', 'David Michener']",,,"['Tom Acosta', 'Jim Melton']",,,,,,,,,,,,,,,,,,,,,,,,,,,
Superdad,['Walt Disney Productions'],"['December14,1973(1973-12-14)']",['96 minutes'],['United States'],['English'],['$7 million (US/Canada rentals)[1]'],,,,,,,,['Vincent McEveety'],['Joseph L. McEveetyHarlan Ware'],,['Bill Anderson'],['Bob CraneBarbara RushKurt RussellJoe FlynnKathleen Cody'],['Buddy Baker'],['Buena Vista Distribution'],,,,['Andrew Jackson'],['Ray de Leuw'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbie Rides Again,['Walt Disney Productions'],"['June6,1974(1974-06-06)']",['88 minutes'],['United States'],['English'],"['$38,229,000 (US/Canada gross)[1]$30.8 million (worldwide rentals)']",49,5.7,80%,"Comedy, Family, Fantasy",G,"$38,229,000",movie,['Robert Stevenson'],,['Charactersby Gordon Buford'],['Bill Walsh'],['Helen HayesKen BerryStefanie PowersKeenan WynnJohn McIntire'],['George Bruns'],['Buena Vista Distribution'],,['Gordon Buford'],,['Frank V. Phillips'],['Cotton Warburton'],,['Bill Walsh'],,,,,,,,,,,,,,,,,,,,,,,,,
The Bears and I,['Walt Disney Productions'],"['July31,1974(1974-07-31)']",['89 minutes'],['United States'],['English'],['$4 million (rentals) (US/Canada)[1]'],N/A,6.2,,"Drama, Family",G,"$273,156",movie,['Bernard McEveety'],,['The Bears and Iby Robert Franklin Leslie'],['Winston Hibler'],['Patrick WayneChief Dan GeorgeAndrew DugganMichael AnsaraRobert Pine'],['Buddy Baker'],['Buena Vista Distribution'],,,['Jack Speirs'],['Ted D. Landon'],['G. Gregg McLaughlin'],,['John Whedon'],,,,,,,,,,,,,,,,,,,,,,,,,
The Castaway Cowboy,['Walt Disney Productions'],"['August1,1974(1974-08-01)']",['91 minutes'],['United States'],['English'],,,,,,,,,['Vincent McEveety'],['Don Tait'],,['Ron MillerWinston Hibler'],['James GarnerVera MilesEric SheaRobert Culp'],['Robert F. Brunner'],['Buena Vista Distribution'],,,,['Andrew Jackson'],['Cotton Warburton'],,,,,,,,,,,,,,,,,,,,,,,,,,,
The Island at the Top of the World,['Walt Disney Productions'],"['December 20, 1974 (with Winnie the Pooh and Tigger Too)']",['93 minutes'],['United States'],,['$10 million (US/Canada rentals)[2]'],N/A,6.3,38%,"Adventure, Family, Fantasy",G,N/A,movie,['Robert Stevenson'],['Ian Cameron (novel) John Whedon (screenplay)'],,['Winston Hibler'],['Donald Sinden David Hartman Jacques Marin Mako  Agneta Eckemyr'],['Maurice Jarre'],['Buena Vista Distribution'],['$8 million[1]'],,,['Frank V. Phillips'],['Robert Stafford'],['English Swedish Norwegian Danish Icelandic'],,,,,,,,,,,,,,,,,,,,,,,,,,
The Strongest Man in the World,['Walt Disney Productions'],"['February6,1975(1975-02-06)']",['92 minutes'],['United States'],['English'],['$6.6 million (US/Canada rentals)[1]'],,,,,,,,['Vincent McEveety'],['Joseph L. McEveetyHerman Groves'],,['Bill Anderson'],['Kurt RussellJoe FlynnEve ArdenCesar RomeroPhil Silvers'],['Robert F. Brunner'],['Buena Vista Distribution'],,,,['Andrew Jackson'],['Cotton Warburton'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Escape to Witch Mountain,['Walt Disney Productions'],"['March21,1975(1975-03-21) (U.S.)']",['97 min.'],['United States'],['English'],"['$20,000,000[1]']",60,6.4,76%,"Adventure, Family, Fantasy",G,"$20,000,000",movie,['John Hough'],,['Escape to Witch Mountainby Alexander H. Key'],['Ron MillerJerome Courtland'],['Eddie AlbertRay MillandDonald PleasenceKim RichardsIke Eisenmann'],['Johnny Mandel'],['Buena Vista Distribution'],,,,"['Frank V. Phillips, ASC']",['Robert Stafford'],,['Robert Malcolm Young'],,,,,,,,,,,,,,,,,,,,,,,,,
The Apple Dumpling Gang,['Walt Disney Productions'],"['July1,1975(1975-07-01)[1]']",['100 minutes'],['United States'],['English'],"['$36,853,000[2]']",59,6.4,56%,"Comedy, Family, Western",G,"$36,853,000",movie,['Norman Tokar'],['Don Tait'],,['Bill Anderson'],"[""Bill BixbySusan ClarkDon KnottsTim ConwayDavid WayneSlim PickensHarry MorganJohn McGiverClay O'BrienDon Knight""]",['Paul J. SmithBuddy BakerJoseph S. Dubin (orchestration)'],['Buena Vista Distribution'],,,,['Frank V. Phillips'],['Ray de Leuw'],,,,,,,,,,,,,,,,,,,,,,,,,,,
One of Our Dinosaurs Is Missing,['Walt Disney Productions'],"['July9,1975(1975-07-09)']",['100 minutes'],,['English'],['$5.5 million (North American rentals)[1]'],N/A,6.0,,"Family, Adventure, Comedy",G,N/A,movie,['Robert Stevenson'],['Bill Walsh'],['The Great Dinosaur Robberyby David Forrest'],['Bill Walsh'],['Peter UstinovHelen HayesClive RevillDerek Nimmo'],['Ron Goodwin'],['Buena Vista Distribution'],,,,['Paul Beeson'],['Peter Boita'],,,['United KingdomUnited States'],,,,,,,,,,,,,,,,,,,,,,,,
The Best of Walt Disney's True-Life Adventures,['Walt Disney Productions'],"['October8,1975(1975-10-08)']",['89 minutes'],['United States'],['English'],,N/A,7.2,,"Documentary, Family",G,N/A,movie,['James Algar'],['James AlgarWinston HiblerTed Sears'],,['Ben SharpsteenJames Algar'],,['Paul SmithOliver WallaceBuddy Baker'],['Buena Vista Distribution'],,,['Winston Hibler'],['Alfred G. MilotteElma MilotteN. Paul KenworthyRobert H. CrandallHugh A. WilmarJames R. SimonHerb and Lois CrislerTom McHughJack C. Couffer'],['Norman PalmerLloyd L. RichardsonAnthony GerardGregg McLaughlinGordon Brenner'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Ride a Wild Pony,['Walt Disney Productions'],"['December 25, 1975[1]']",['91 minutes'],,['English'],,,,,,,,,['Don Chaffey'],['Rosemary Anne Sisson'],['A Sporting Proposition1973 novelby James Aldridge'],['Jerome Courtland'],['Robert BettlesEva GriffithMichael Craig'],['John Addison'],['Buena Vista Distribution (US)British Empire Films (Australia)'],['AU$1 million[2]'],,,['Jack Cardiff'],['Mike Campbell'],,,['United StatesAustralia'],,,,,,,,,,,,,,,,,,,,,,,,
"No Deposit, No Return",['Walt Disney Productions'],"['February11,1976(1976-02-11) (Los Angeles)[1]']",['112 minutes'],['United States'],['English'],,N/A,6.5,,"Comedy, Family",G,N/A,movie,['Norman Tokar'],['Arthur AlsbergDon Nelson'],,['Ron Miller'],['David NivenDarren McGavinDon KnottsHerschel BernardiCharles Martin SmithBarbara FeldonKim RichardsBrad Savage'],['Buddy Baker'],['Buena Vista Distribution'],,,,['Frank V. Phillips'],['Cotton Warburton'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasure of Matecumbe,['Walt Disney Productions'],"['July1,1976(1976-07-01)']",['115 minutes'],['United States'],['English'],,N/A,6.2,,"Adventure, Family, Western",G,N/A,movie,['Vincent McEveety'],['Don Tait'],['A Journey to Matecumbeby Robert Lewis Taylor'],['Bill AndersonRon Miller'],['Johnny DoranBilly AtmoreRobert FoxworthJoan HackettPeter UstinovVic Morrow'],['Buddy Baker'],['Buena Vista Distribution'],,,,['Frank V. Phillips'],['Cotton Warburton'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Gus,['Walt Disney Productions'],"['July7,1976(1976-07-07)']",['95 minutes'],['United States'],['English'],"['$21,873,000']",52,5.9,,"Comedy, Family, Sport",G,"$21,873,000",movie,['Vincent McEveety'],,,['Ron Miller'],['Don KnottsEdward AsnerGary GrimesTim ConwayHarold GouldRonnie SchellTom BosleyLouise WilliamsDick Butkus'],['Robert F. Brunner'],['Buena Vista Distribution'],,['Ted Key'],,['Frank Phillips'],['Robert Stafford'],,['Arthur AlsbergDon Nelson'],,,,,,,,,,,,,,,,,,,,,,,,,
The Shaggy D.A.,['Walt Disney Productions'],"['December16,1976(1976-12-16)']",['91 min.'],['United States'],['English'],['$10.5 million (US and Canada rentals)[1]'],,,,,,,,['Robert Stevenson'],['Don Tait'],['The Hound of Florence by Felix Salten'],['Bill Anderson'],['Dean JonesSuzanne PleshetteTim ConwayKeenan Wynn'],['Paul J. SmithBuddy Baker'],['Buena Vista Distribution'],,,,['Frank V. Phillips'],['Bob BringNorman R. Palmer'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Freaky Friday,['Walt Disney Productions'],"['December17,1976(1976-12-17)']",['95 minutes'],['United States'],['English'],['$36 million[2]'],70,6.2,88%,"Comedy, Family, Fantasy",PG,"$110,230,332",movie,['Gary Nelson'],,['Freaky Fridayby Mary Rodgers'],['Ron Miller'],['Jodie FosterBarbara HarrisJohn Astin'],['Johnny Mandel'],['Buena Vista Distribution'],['$5 million[1]'],,,['Charles F. Wheeler'],['Cotton Warburton'],,['Mary Rodgers'],,,,,,,,,,,,,,,,,,,,,,,,,
The Littlest Horse Thieves,['Walt Disney Productions'],"['May 26, 1976 (UK)March 11, 1977 (US)']",['104 minutes'],,['English'],,,,,,,,,['Charles Jarrott'],['Rosemary Anne Sisson'],,['Ron Miller'],['Alastair SimPeter BarkworthMaurice ColbourneSusan TebbsAndrew HarrisonChloe Franks'],['Ron Goodwin'],['Buena Vista Distribution'],,['Burt KennedyRosemary Anne Sisson'],,['Paul Beeson'],['Richard Marden'],,,['United KingdomUnited States'],,,,,,,,,,,,,,,,,,,,,,,,
The Many Adventures of Winnie the Pooh,['Walt Disney Productions'],"['March11,1977(1977-03-11)']",['74 minutes'],['United States'],['English'],,N/A,7.6,,"Animation, Adventure, Comedy",G,N/A,movie,['John LounsberyWolfgang Reitherman'],,['Winnie-the-Poohby A. A. Milne'],['Wolfgang Reitherman[a]'],['Sterling HollowayJohn FiedlerJunius MatthewsPaul WinchellHoward MorrisBruce ReithermanJon WalmsleyTimothy Turner'],['Richard M. ShermanRobert B. Sherman (songs)Buddy Baker (score)'],['Buena Vista Distribution'],,['Larry ClemmonsRalph WrightVance GerryXavier AtencioKen AndersonJulius SvendsenTed BermanEric Cleworth'],['Sebastian Cabot'],,['Tom AcostaJames Melton'],,,,,,,,,,,,,,,,,,,,,,,,,,,
A Tale of Two Critters,['Walt Disney Productions'],"['June20,1977(1977-06-20)']",['48 minutes'],['United States'],['English'],,N/A,6.0,,"Adventure, Family",G,N/A,movie,['Jack Speirs'],,,['Jack Speirs'],,['Buddy Baker'],['Buena Vista Distribution'],,,['Mayf Nutter'],,['G. Gregg McLaughlin'],,['Jack Speirs'],,,,,,,,,,,,,,,,,,,,,,,,,
The Rescuers,['Walt Disney Productions'],"['June22,1977(1977-06-22)']",['77 minutes'],['United States'],['English'],['$169 million[2]'],74,6.9,81%,"Animation, Adventure, Comedy",G,"$71,215,869",movie,"['Wolfgang Reitherman', 'John Lounsbery', 'Art Stevens']",,['The Rescuers and Miss Biancaby Margery Sharp'],"['Wolfgang Reitherman', 'Ron W. Miller']","['Bob Newhart', 'Eva Gabor', 'Joe Flynn', 'Geraldine Page']",['Artie Butler'],['Buena Vista Distribution'],['$7.5 million[1]'],"['Larry Clemmons', 'Vance Gerry', 'Ken Anderson', 'Frank Thomas', 'Burny Mattinson', 'Fred Lucky', 'Dick Sebast', 'David Michener', 'Ted Berman']",,,"['Jim Koford', 'James Melton']",,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbie Goes to Monte Carlo,['Walt Disney Productions'],"['June24,1977(1977-06-24)']",['104 minutes'],['United States'],['English'],['$29 million[1]'],38,5.7,60%,"Action, Adventure, Comedy",G,"$29,000,000",movie,['Vincent McEveety'],['Arthur AlsbergDon Nelson'],['Charactersby Gordon Buford'],['Ron Miller'],['Dean JonesDon KnottsJulie SommarsJacques MarinRoy KinnearBernard FoxEric BraedenXavier Saint-MacaryJohnny Haymer'],['Frank De Vol'],['Buena Vista Distribution'],,,,['Leonard J. South'],['Cotton Warburton'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Pete's Dragon,['Walt Disney Productions'],"['November3,1977(1977-11-03)']",['128 minutes'],['United States'],['English'],['$36[1]–39.6 million[2]'],71,6.7,88%,"Action, Adventure, Comedy",PG,"$76,233,151",movie,['Don Chaffey'],,,"['Jerome Courtland', 'Ron W. Miller']","['Helen Reddy', 'Jim Dale', 'Mickey Rooney', 'Red Buttons', 'Jeff Conaway', 'Shelley Winters', 'Jane Kean', 'Jim Backus', 'Sean Marshall', 'Charlie Callas']",['Irwin Kostal'],['Buena Vista Distribution'],['$10 million[1]'],"['Seton I. Miller', 'S. S. Field']",,['Frank Phillips'],['Gordon D. Brenner'],,['Malcolm Marmorstein'],,,,,,,,,,,,,,,,,,,,,,,,,
Candleshoe,['Walt Disney Productions'],"['December16,1977(1977-12-16)']",['101 minutes'],['United States'],['English'],,68,6.8,,"Adventure, Comedy, Drama",G,N/A,movie,['Norman Tokar'],['David SwiftRosemary Anne Sisson'],['Christmas at Candleshoe by Michael Innes'],['Ron Miller'],['Jodie FosterDavid NivenHelen HayesLeo McKern'],['Ron Goodwin'],['Buena Vista Distribution'],,,,['Paul Beeson'],['Peter Boita'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Return from Witch Mountain,['Walt Disney Productions'],"['March10,1978(1978-03-10)']",['94 minutes'],['United States'],['English'],,51,5.8,50%,"Adventure, Family, Fantasy",G,"$16,393,000",movie,['John Hough'],['Malcolm Marmorstein'],['Characters created by Alexander Key'],['Ron MillerJerome Courtland'],['Bette DavisChristopher LeeKim RichardsIke EisenmannJack SooAnthony James'],['Lalo Schifrin'],['Buena Vista Distribution'],,,,['Frank V. Phillips'],['Bob Bring'],,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cat from Outer Space,['Walt Disney Productions'],"['June30,1978(1978-06-30) (New York)[1]']",['104 minutes'],['United States'],['English'],,58,6.1,67%,"Comedy, Family, Sci-Fi",G,N/A,movie,['Norman Tokar'],['Ted Key'],,['Ron Miller'],['Ken BerrySandy DuncanHarry MorganRonnie SchellRoddy McDowallMcLean Stevenson'],['Lalo Schifrin'],['Buena Vista Distribution'],['$3.5 to 4 million[2]'],,,['Charles F. Wheeler'],['Cotton Warburton'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Lead and Cold Feet,['Walt Disney Productions'],"['July5,1978(1978-07-05)']",['90 minutes'],['United States'],['English'],,,,,,,,,['Robert Butler'],['Joe McEveetyArthur AlsbergDon Nelson'],,['Ron Miller'],['Jim DaleKaren ValentineDon KnottsJack ElamDarren McGavin'],['Buddy Baker'],['Buena Vista Distribution'],,['Rod Piffath'],,['Frank V. Phillips'],['Ray de Leuw'],,,,,,,,,,,,,,,,,,,,,,,,,,,
The North Avenue Irregulars,['Walt Disney Productions'],"['February9,1979(1979-02-09)']",['100 minutes'],['United States'],['English'],,N/A,6.7,78%,"Action, Comedy, Crime",G,N/A,movie,['Bruce Bilson'],['Don Tait'],,['Ron Miller'],['Edward HerrmannBarbara HarrisSusan ClarkKaren ValentineMichael ConstantineCloris LeachmanSteve FrankenPatsy KellyDouglas FowleyVirginia CapersRuth Buzzi'],['Richard BowdenRobert F. Brunner'],['Buena Vista Distribution'],,,,['Leonard J. South'],['Gordon D. Brenner'],,,,,,,,,,,,,,,,,,,,,,,,,,,
